ɛː	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/7/71/Open-mid_front_unrounded_vowel.ogg	long open-mid front unrounded vowel
œ̃	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/9f/Open-mid_front_rounded_vowel_%282%29.ogg	nasalized open-mid front rounded vowel
ɭ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d1/Retroflex_lateral_approximant.ogg	voiced retroflex lateral-approximant
ɔø	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d0/PR-open-mid_back_rounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/5/53/Close-mid_front_rounded_vowel.ogg	open-mid back rounded vowel close-mid front rounded vowel
ʑ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/1/15/Voiced_alveolo-palatal_sibilant.ogg	voiced alveolo-palatal fricative
tʲ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/0/02/Voiceless_alveolar_plosive.ogg	lateral release voiceless alveolar plosive
ɨ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/5/53/Close_central_unrounded_vowel.ogg	close central unrounded vowel
ɛɹ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/7/71/Open-mid_front_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/1/1f/Alveolar_approximant.ogg	open-mid front unrounded vowel voiced alveolar approximant
ts.	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/9d/Voiceless_alveolar_sibilant_affricate.oga	 voiceless alveolar affricate
rʲ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/c/ce/Alveolar_trill.ogg	lateral release voiced alveolar trill
ɪɹ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/4/4c/Near-close_near-front_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/1/1f/Alveolar_approximant.ogg	near-close near-front unrounded vowel voiced alveolar approximant
ɭʲ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d1/Retroflex_lateral_approximant.ogg	lateral release voiced retroflex lateral-approximant
i.5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg	  close front unrounded vowel
ɔɪ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d0/PR-open-mid_back_rounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/4/4c/Near-close_near-front_unrounded_vowel.ogg	open-mid back rounded vowel near-close near-front unrounded vowel
q	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/1/19/Voiceless_uvular_plosive.ogg	voiceless uvular plosive
sʲ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/a/ac/Voiceless_alveolar_sibilant.ogg	lateral release voiceless alveolar fricative
u5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/5/5d/Close_back_rounded_vowel.ogg	 close back rounded vowel
ʊɹ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d5/Near-close_near-back_rounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/1/1f/Alveolar_approximant.ogg	near-close near-back rounded vowel voiced alveolar approximant
iɜ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/0/01/Open-mid_central_unrounded_vowel.ogg	close front unrounded vowel open-mid central unrounded vowel
a5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/6/65/Open_front_unrounded_vowel.ogg	 open front unrounded vowel
iɛ5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/7/71/Open-mid_front_unrounded_vowel.ogg	 close front unrounded vowel open-mid front unrounded vowel
øː	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/5/53/Close-mid_front_rounded_vowel.ogg	long close-mid front rounded vowel
ʕ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/c/cd/Voiced_pharyngeal_fricative.ogg	voiced pharyngeal fricative
ja	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/e8/Palatal_approximant.ogg http://upload.wikimedia.org/wikipedia/commons/6/65/Open_front_unrounded_vowel.ogg	voiced palatal approximant open front unrounded vowel
əɜ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d9/Mid-central_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/0/01/Open-mid_central_unrounded_vowel.ogg	schwa open-mid central unrounded vowel
th	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/0/02/Voiceless_alveolar_plosive.ogg http://upload.wikimedia.org/wikipedia/commons/d/da/Voiceless_glottal_fricative.ogg	voiceless alveolar plosive voiceless glottal fricative
ɑ5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/e5/Open_back_unrounded_vowel.ogg	 open back unrounded vowel
